Layer,Kriterium,Region,Anbieter,Score,Begründung,Quellen
"Governance, Security & Trust (Sovereignty)",K18: Föderierte Trust-Frameworks (Gaia-X/IDSA),USA,AWS,2.0,"AWS ist Gaia-X Day-1-Mitglied, bietet aber kein natives Trust-Framework-Produkt oder IDSA-zertifizierten Dataspace Connector. Grundlegende Gaia-X-Compliance-Alignment, jedoch kein operatives Angebot für föderierte Datensouveränität im IDSA-/Gaia-X-Sinne. Score 2 ✅ bestätigt.",Gaia-X Membership List (gaia-x.eu/members); AWS Gaia-X Engagement (gaia-x.eu)
"Governance, Security & Trust (Sovereignty)",K18: Föderierte Trust-Frameworks (Gaia-X/IDSA),USA,Azure,3.0,"Microsoft ist Gaia-X-Mitglied. Azure Confidential Computing, Microsoft Purview und Azure Policy bieten fortgeschrittene Governance-Fähigkeiten. Kein IDSA-zertifizierter nativer Connector. Gaia-X Trust Framework 3.0 'Danube' veröffentlicht Nov 2025 — Microsoft weiterhin aktives Mitglied. Score 3 ✅ bestätigt.",Gaia-X Trust Framework 3.0 'Danube' Release Nov 2025 (gaia-x.eu/gaia-x-enters-season-two-of-dataspaces-and-digital-ecosystems-with-summit-2025); Azure Confidential Computing (learn.microsoft.com/azure/confidential-computing)
"Governance, Security & Trust (Sovereignty)",K18: Föderierte Trust-Frameworks (Gaia-X/IDSA),USA,Google Cloud,2.0,Google ist Gaia-X-Mitglied. Sovereign Cloud über T-Systems in Deutschland verfügbar. Kein natives IDSA/Dataspace-Connector-Angebot. Score 2 ✅ bestätigt.,Google Cloud Sovereign Cloud via T-Systems (cloud.google.com/solutions/sovereign-cloud)
"Governance, Security & Trust (Sovereignty)",K18: Föderierte Trust-Frameworks (Gaia-X/IDSA),DE,Stackable,2.0,Stackable ist deutsches Open-Source-Unternehmen mit DSGVO-Alignment und konzeptioneller Gaia-X-Nähe. Kein dedizierter Gaia-X Trust-Framework-Service oder IDSA Connector. Score 2 ✅ bestätigt.,Stackable (stackable.tech); Stackable DSGVO/Open-Source-Positionierung (docs.stackable.tech)
"Governance, Security & Trust (Sovereignty)",K18: Föderierte Trust-Frameworks (Gaia-X/IDSA),DE,IONOS,4.0,IONOS ist von Projektbeginn treibende Kraft von Gaia-X ('von Projektbeginn treibende Kraft von GAIA-X' — offizielle IONOS-Cloud-Seite). Größte im Live-Betrieb befindliche Cloud aus Deutschland. Gaia-X Trust Framework 3.0 'Danube' November 2025 veröffentlicht — IONOS weiterhin aktiv involviert. Kein IDSA-zertifizierter eigener Dataspace Connector (das ist OTC/DIH). Score 4 ✅ bestätigt.,"IONOS Gaia-X (cloud.ionos.de/gaia-x): 'IONOS ist von Projektbeginn treibende Kraft von GAIA-X und stellt die größte im Live-Betrieb befindliche Cloud aus Deutschland'; Gaia-X Trust Framework 3.0 Danube, Nov 2025 (gaia-x.eu/gaia-x-enters-season-two-of-dataspaces-and-digital-ecosystems-with-summit-2025)"
"Governance, Security & Trust (Sovereignty)",K18: Föderierte Trust-Frameworks (Gaia-X/IDSA),DE,Open Telekom Cloud (OTC),4.0,KORREKTUR aus FINAL bestätigt (5→4): OTC/T-Systems erhielt im Oktober 2024 das Gaia-X Compliance Label Level 1 für den Object Storage Service. Level 1 ist die Grundstufe des dreistufigen Gaia-X Compliance-Frameworks — Level 2 und 3 stehen noch aus. Score 4 ✅ — Begründung quellenbasiert konkretisiert.,"OTC Gaia-X Level 1 Object Storage Service, Oktober 2024: 'In October 2024, the Object Storage Service was awarded the Gaia-X Compliance Label Level 1' (open-telekom-cloud.com/en/blog/benefits/object-storage-service-gaia-x-compliant); Gaia-X Compliance Framework inkl. Level 2/3 (dih.telekom.com/en/gaia-x-compliance-meets-open-telekom-cloud)"
"Governance, Security & Trust (Sovereignty)",K19: E2E-Verschlüsselung & Identitätsmanagement,USA,AWS,5.0,"AWS CloudHSM (FIPS 140-2 Level 3), AWS KMS mit HSM-Backing, IAM mit feingranularer Policy-Engine, AWS Certificate Manager, Macie für Datenschutz-Scanning. Vollständig GA, breit genutzte Produktionsreife. Score 5 ✅ bestätigt.",AWS CloudHSM (aws.amazon.com/cloudhsm); AWS IAM (aws.amazon.com/iam); AWS KMS (aws.amazon.com/kms)
"Governance, Security & Trust (Sovereignty)",K19: E2E-Verschlüsselung & Identitätsmanagement,USA,Azure,5.0,"Azure Key Vault Managed HSM (FIPS 140-2 Level 3), Microsoft Entra ID (ehemals AAD) mit Conditional Access und PIM, Azure Confidential Computing (TDX/SGX), Microsoft Defender for Cloud. Vollständig GA. Score 5 ✅ bestätigt.",Azure Key Vault Managed HSM (learn.microsoft.com/azure/key-vault/managed-hsm); Microsoft Entra ID (learn.microsoft.com/entra)
"Governance, Security & Trust (Sovereignty)",K19: E2E-Verschlüsselung & Identitätsmanagement,USA,Google Cloud,5.0,"Google Cloud HSM (FIPS 140-2 Level 3), Cloud KMS, BeyondCorp Enterprise (Zero Trust), Cloud Identity. Vollständig GA. Score 5 ✅ bestätigt.",Google Cloud HSM/KMS (cloud.google.com/kms/docs/hsm); BeyondCorp Enterprise (cloud.google.com/beyondcorp)
"Governance, Security & Trust (Sovereignty)",K19: E2E-Verschlüsselung & Identitätsmanagement,DE,Stackable,2.0,"Stackable unterstützt TLS-Verschlüsselung zwischen Diensten (Secret Operator, TLS Operator) und Kubernetes RBAC. Kein eigenes HSM-Angebot oder enterprise IAM. Score 2 ✅ bestätigt.",Stackable Secret Operator / TLS Operator (docs.stackable.tech/secret-operator)
