Layer,Kriterium,Region,Anbieter,Score,Begründung,Quellen
Intelligence- & KI-Integration,K16: RAG-Muster Support,USA,AWS,5.0,"AWS Bedrock Knowledge Bases ist fully managed und produktionsreif (GA): vollständiger RAG-Workflow aus einer Hand — Ingestion, Chunking, Embedding, Vektorspeicher, Retrieval. Seit re:Invent 2025 zusätzlich multimodale RAG-Fähigkeiten. Kein EOL-Hinweis (Stand März 2026). Score 5 ✅ bestätigt.",AWS Bedrock Knowledge Bases Produktseite (aws.amazon.com/bedrock/knowledge-bases/); AWS Bedrock Knowledge Bases Docs (docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base.html); re:Invent 2025 multimodal RAG announcement (stormit.cloud/blog/amazon-bedrock-knowledge-base/)
Intelligence- & KI-Integration,K16: RAG-Muster Support,USA,Azure,5.0,"Azure AI Search + Azure OpenAI Service bilden das führende enterprise-grade RAG-Stack auf Azure: native Vektor-Index-Integration, semantisches Ranking, RBAC, VNet-Support. Beide Services GA, kein EOL-Hinweis (Stand März 2026). Score 5 ✅ bestätigt.",Azure AI Search RAG Docs (learn.microsoft.com/azure/search/retrieval-augmented-generation-overview); Azure OpenAI Service (learn.microsoft.com/azure/ai-services/openai/)
Intelligence- & KI-Integration,K16: RAG-Muster Support,USA,Google Cloud,5.0,"Vertex AI Search (ehem. Enterprise Search) + Vertex AI RAG Engine sind beide GA und produktionsreif: Grounding mit Google Search, CMEK/VPC-SC-Support, Enterprise-Data-Anbindung. Vertex AI RAG Engine bietet native Retrieval-APIs. Score 5 ✅ bestätigt — kein Pre-GA-Vorbehalt bei Vertex AI Search/RAG Engine.","Vertex AI RAG Engine Docs (docs.cloud.google.com/vertex-ai/generative-ai/docs/rag-engine/rag-overview); Grounding mit Vertex AI Search (docs.cloud.google.com/vertex-ai/generative-ai/docs/grounding/grounding-with-vertex-ai-search); Vertex AI Search Enterprise (cloud.google.com/enterprise-search) — GA, keine Pre-GA-Einschränkung"
Intelligence- & KI-Integration,K16: RAG-Muster Support,DE,Stackable,1.0,"Kein nativer RAG-Service. Über Spark/Trino-Operatoren und externe Vektordatenbanken (Qdrant, Weaviate) lässt sich ein RAG-Stack selbst aufbauen — reine Eigenbau-Lösung ohne managed Inferenz-Endpoint. Score 1 ✅ bestätigt.",Stackable Dokumentation (docs.stackable.tech) — kein RAG-Produkt oder LLM-Hosting-Service gelistet
Intelligence- & KI-Integration,K16: RAG-Muster Support,DE,IONOS,4.0,"IONOS AI Model Hub bietet nativen RAG-Support: dedizierte API-Endpunkte /collections, /documents und /query für RAG-Szenarien. Eingebaute Vektordatenbank für Embedding-Speicherung, LLM-Hosting (Llama 3, Mistral etc.), DSGVO-konform in deutschen Rechenzentren. Score 4 ✅ bestätigt — echter managed RAG-Service, jedoch geringerer Funktionsumfang und Skalierungstiefe als AWS/Azure/GCP.","IONOS AI Model Hub RAG API Docs: 'For Retrieval Augmented Generation (RAG) scenarios: Please continue to use the native API endpoints (/collections, /documents, and /query)' (api.ionos.com/docs/inference-modelhub/v1/); IONOS AI Model Hub Produktseite: 'Power RAG and similarity search by converting text into vector embeddings' (cloud.ionos.com/managed/ai-model-hub); IONOS Newsroom: erste deutsche multimodale KI-Plattform (ionos.de/newsroom)"
Intelligence- & KI-Integration,K16: RAG-Muster Support,DE,Open Telekom Cloud (OTC),2.0,"OTC ModelArts (Huawei) bietet ML-Training/Deployment auf GPU-Infrastruktur, jedoch keinen dedizierten RAG-Managed-Service oder LLM-Inferenz-Endpoint. RAG nur über Eigenbau auf ModelArts-Basis möglich. Score 2 ✅ bestätigt (IaaS-Niveau mit ML-Tooling, kein RAG-Kernprodukt).",OTC ModelArts Docs (docs.otc.t-systems.com/modelarts) — kein nativer RAG-Service oder LLM-Inferenz-Endpoint gelistet
Intelligence- & KI-Integration,K17: Autonomous Data Operations,USA,AWS,5.0,AWS IoT SiteWise bietet native Anomalie-Erkennung als vollständig managed Service — aktiv ausgebaut (kein EOL): (1) Multivariate Anomaly Detection GA-Release Juli 2025 — automatische Identifikation von Anomalien über mehrere Equipment-Properties hinweg. (2) Automated Model Retraining + flexible Promotion Modes + Model Metrics: September 2025. Ergänzend: Amazon DevOps Guru (Code-Anomalien). Score 5 ✅ bestätigt und durch neue Feature-Releases weiter gestärkt.,AWS IoT SiteWise Multivariate Anomaly Detection GA (aws.amazon.com/about-aws/whats-new/2025/07/aws-iot-sitewise-multivariate-anomaly-detection/); AWS IoT SiteWise Anomaly Detection Model Retraining (aws.amazon.com/about-aws/whats-new/2025/09/aws-iot-sitewise-retraining-anomaly-detection-models/); AWS IoT SiteWise Native Anomaly Detection Docs (docs.aws.amazon.com/iot-sitewise/latest/userguide/sitewise-anomaly-detection.html)
Intelligence- & KI-Integration,K17: Autonomous Data Operations,USA,Azure,3.0,"KORREKTUR (bereits in FINAL gesetzt, hiermit präzisiert): Azure AI Anomaly Detector wird am 1. Oktober 2026 vollständig eingestellt. Seit dem 20. September 2023 können KEINE neuen Anomaly-Detector-Ressourcen mehr erstellt werden — d. h. für neue Projekte (Stand März 2026) ist der Service faktisch nicht mehr nutzbar. Kein direkter, managed Ersatzservice angekündigt; Microsoft empfiehlt Migration zu Microsoft Fabric / Azure ML / Azure Stream Analytics. Score 3 bestätigt (Alternativen existieren über Azure ML + Stream Analytics, aber kein dediziertes Managed-Produkt als Ersatz).","Azure AI Anomaly Detector Retirement: 'On 1 October 2026 AI Services Anomaly Detector will be retired' (azure.microsoft.com/updates/ai-services-anomaly-detector-will-be-retired-on-1-october-2026/); Microsoft Docs: 'Starting on the 20th of September, 2023 you won't be able to create new Anomaly Detector resources' (learn.microsoft.com/azure/ai-services/anomaly-detector/whats-new); Microsoft Q&A: 'there is no new product for alternative at this moment' (learn.microsoft.com/answers/questions/1550154/anomaly-detector-deprecated)"
Intelligence- & KI-Integration,K17: Autonomous Data Operations,USA,Google Cloud,3.0,"Google Cloud Monitoring bietet integrierte Anomalie-Erkennung für Cloud-Infrastruktur-Metriken (CPU, Netzwerk, Latenz) als managed Feature. Kein natives, industrielles Anomalie-Erkennungsprodukt für OT/IoT-Zeitreihendaten vergleichbar mit AWS SiteWise. Score 3 ✅ bestätigt (gutes Cloud-Infrastruktur-Monitoring, kein industrielles Anomalie-Kernprodukt).",Google Cloud Monitoring Anomaly Detection (cloud.google.com/monitoring/alerts/anomaly-detection); Vertex AI Forecast als mögliche Ergänzung für Zeitreihendaten
Intelligence- & KI-Integration,K17: Autonomous Data Operations,DE,Stackable,1.0,Keine KI- oder Anomalie-Erkennung als managed Service. Spark-Operator ermöglicht Eigenbau-Streaming-Analytics. Score 1 ✅ bestätigt.,Stackable Spark Operator (docs.stackable.tech/spark) — kein Anomalie-Erkennungs-Service
