Layer,Kriterium,Region,Anbieter,Score,Begründung,Quellen
Semantik- & Modellierungslayer (Context),K13: Digital Twin Frameworks,USA,AWS,4.0,"AWS IoT TwinMaker (GA seit Mai 2022, kein EOL angekündigt Stand März 2026) ermöglicht Erstellung von Digital Twins mit 3D-Visualisierung, Zeitreihenintegration und Szenenkomposition. Kein branchenübergreifender De-facto-Standard, aber starkes Produktangebot. Nicht in der AWS EOL-Liste (bestätigte EOLs: SimSpace Weaver, IoT Analytics, IoT Events, IoT IQ, Panorama, Pinpoint — TwinMaker NICHT darunter).","AWS IoT TwinMaker GA Announcement (infoq.com/news/2022/05/aws-iot-twinmaker-ga/); AWS Product Lifecycle (aws.amazon.com/products/lifecycle/) — TwinMaker nicht in EOL-Liste; CRN: 'AWS Ending Support For These 10 Services: IoT IQ, SimSpace, IoT Analytics, IoT Events, Panorama...' (crn.com/news/cloud/2025/) — TwinMaker NICHT genannt"
Semantik- & Modellierungslayer (Context),K13: Digital Twin Frameworks,USA,Azure,5.0,"Azure Digital Twins ist Industriestandard: DTDL-basiert (Digital Twin Definition Language), vollständig in Azure IoT Hub und Azure IoT Operations integriert. Best-in-class für industrielle Digital-Twin-Modellierung.",Azure Digital Twins Docs (learn.microsoft.com/azure/digital-twins/)
Semantik- & Modellierungslayer (Context),K13: Digital Twin Frameworks,USA,Google Cloud,2.0,"Google Cloud Supply Chain Twin (lanciert Sept. 2021) ist eine Nischenlösung für Supply-Chain-Visualisierung, kein allgemeines industrielles Digital-Twin-Framework. Keine Anzeichen für Abkündigung (Stand März 2026), aber stark auf Logistik fokussiert. Kein IIoT-/Fabrik-Digital-Twin-Pfad. Score 2 (self-host-fähig auf IaaS, kein 'opinionated' DT-Produkt für industrielle Assets).","Google Cloud Supply Chain Twin Launch (prnewswire.com, Sept. 2021); Google Cloud Supply Chain Solutions aktiv (cloud.google.com/solutions/supply-chain-logistics)"
Semantik- & Modellierungslayer (Context),K13: Digital Twin Frameworks,DE,Stackable,0.0,"Stackable bietet keinerlei Digital-Twin-Funktionalität. Kein Produkt, keine Referenzarchitektur für DT-Erstellung. Score 0 (nicht sinnvoll anwendbar).",Stackable Operator-Katalog (docs.stackable.tech) — kein Digital-Twin-Produkt gelistet
Semantik- & Modellierungslayer (Context),K13: Digital Twin Frameworks,DE,IONOS,1.0,IONOS hat kein Digital-Twin-Produkt. Auf Managed Kubernetes könnten Open-Source-Tools (z. B. Eclipse Ditto) selbst betrieben werden. Nur über Eigenbau/Partner realisierbar.,IONOS Cloud Produktübersicht (docs.ionos.com/cloud) — kein DT-Produkt; Eclipse Ditto als möglicher Self-Host-Pfad
Semantik- & Modellierungslayer (Context),K13: Digital Twin Frameworks,DE,Open Telekom Cloud (OTC),2.0,"OTC selbst bietet keinen DT-Service. T-Systems bietet über das Partnerökosystem (Cumulocity IoT Device Twin, T-Systems Digital Twin Readiness Assessment) DT-Ansätze. Kein vollständiges, natives DT-Framework auf OTC-Konsolenniveau.",Cumulocity IoT Device Twin (cumulocity.com); T-Systems Digital Twin Angebot (t-systems.com)
Semantik- & Modellierungslayer (Context),K14: Knowledge Graph Integration,USA,AWS,4.0,"Amazon Neptune ist eine fully managed Graph-Datenbank (RDF/SPARQL und Property Graph/Gremlin/openCypher). Neptune ML kombiniert Graph Neural Networks mit Knowledge Graph-Reasoning. Starkes, produktionsreifes Angebot für semantische Datenmodellierung.",Amazon Neptune Docs (aws.amazon.com/neptune); Neptune ML (aws.amazon.com/neptune/machine-learning/)
Semantik- & Modellierungslayer (Context),K14: Knowledge Graph Integration,USA,Azure,4.0,"Azure Digital Twins ist inhärent Graph-basiert (Twin Graph mit DTDL-Beziehungen). Azure Cosmos DB unterstützt Gremlin (Property Graph API). Starkes, integriertes Graph-Angebot.",Azure Digital Twins Twin Graph (learn.microsoft.com/azure/digital-twins/concepts-twins-graph)
Semantik- & Modellierungslayer (Context),K14: Knowledge Graph Integration,USA,Google Cloud,2.0,"KORREKTUR (Score 3→2): Google Enterprise Knowledge Graph (EKG) API ist explizit als 'Pre-GA Offerings Terms' gekennzeichnet — nicht produktionsreif, kein GA-Status (Stand März 2026). Google Spanner Graph (GA) ist ein Property-Graph-Layer auf Spanner, aber kein dediziertes Knowledge-Graph-Produkt. Der Einsatz als 'guter DIY-Stack/Referenzarchitektur' (Score 3) ist nicht gerechtfertigt, da das Kernprodukt EKG kein GA-Status hat. Score 2 (IaaS-Niveau: Spanner Graph als self-hosted Graph-DB-Ansatz, kein Enterprise-KG-Kernprodukt).",Google Enterprise Knowledge Graph Docs: 'This product is subject to the Pre-GA Offerings Terms' (docs.cloud.google.com/enterprise-knowledge-graph/docs/overview); Google Enterprise Knowledge Graph Search API Docs: 'This product is subject to Pre-GA Offerings Terms' (docs.cloud.google.com/enterprise-knowledge-graph/docs/search-api); Google Spanner Graph (cloud.google.com/spanner/docs/graph/overview)
Semantik- & Modellierungslayer (Context),K14: Knowledge Graph Integration,DE,Stackable,2.0,Stackable bietet Trino und Apache Druid als Kubernetes-Operatoren für analytische Abfragen. Kein dedizierter Knowledge-Graph-Stack. Score 2 (IaaS-Niveau: Self-Host möglich).,"Stackable Operator-Katalog (docs.stackable.tech) — Trino, Druid verfügbar, kein Graph-DB-Operator"
Semantik- & Modellierungslayer (Context),K14: Knowledge Graph Integration,DE,IONOS,1.0,"IONOS bietet keine Graph-Datenbank als Managed Service. Selbst betriebene Graph-DBs (Neo4j, Apache Jena) auf IONOS-VMs möglich. Score 1 (nur über Eigenbau/Partner).",IONOS Cloud Managed Databases (docs.ionos.com/cloud/managed-databases) — kein Graph-DB-Service
Semantik- & Modellierungslayer (Context),K14: Knowledge Graph Integration,DE,Open Telekom Cloud (OTC),1.0,"OTC bietet GaussDB und RDS (relationale DBs), aber keine managed Graph-Datenbank. Score 1 (Eigenbau auf IaaS nötig).","OTC Datenbank-Services (docs.otc.t-systems.com) — GaussDB, RDS, kein Graph-DB-Service"
Semantik- & Modellierungslayer (Context),K15: Branchenspezifische Informationsmodelle,USA,AWS,2.0,"AWS IoT SiteWise Asset Model Interfaces: Feature angekündigt August 2025 (nicht 2023 wie ursprünglich impliziert) — ermöglicht Standardisierung von Asset-Eigenschaften über Gerätetypen hinweg. Kein nativer RAMI 4.0- oder AAS (Asset Administration Shell)-Standard-Support. Score 2 (IaaS-Niveau: proprietäres Asset-Modell, kein Industriestandard-Mapping).",AWS IoT SiteWise introduces asset model interfaces (aws.amazon.com/about-aws/whats-new/2025/08/aws-iot-sitewise-introduces-asset-model-interfaces/) — Feature-Launch August 2025; AWS IoT SiteWise Asset Model Interfaces Docs (docs.aws.amazon.com/iot-sitewise/latest/userguide/model-interfaces.html) — kein RAMI/AAS-Bezug
Semantik- & Modellierungslayer (Context),K15: Branchenspezifische Informationsmodelle,USA,Azure,3.0,"DTDL (Digital Twin Definition Language) ist ein offener Standard mit Community-Ontologien für Gebäude (RealEstateCore), Energie, Fertigung. Keine native AAS-Implementierung im Produkt, aber DTDL-Mapping-Projekte in der Community existieren. Score 3 (Referenzarchitektur vorhanden, nicht Kernprodukt).",Open Digital Twins Ontologies (github.com/Azure/opendigitaltwins-dtdl); DTDL Spec (github.com/Azure/opendigitaltwins-dtdl)
Semantik- & Modellierungslayer (Context),K15: Branchenspezifische Informationsmodelle,USA,Google Cloud,0.0,"Google Cloud hat keinerlei Unterstützung für industrielle Informationsmodelle (RAMI 4.0, AAS, IEC 62264 etc.). Kein Produkt, keine Referenzarchitektur. Score 0.",GCP Produktkatalog — kein Industriemodell-Support; Google Cloud Partner-Ecosystem für AAS/RAMI nicht vorhanden
Semantik- & Modellierungslayer (Context),K15: Branchenspezifische Informationsmodelle,DE,Stackable,0.0,"Stackable hat keinen Bezug zu industriespezifischen Informationsmodellen (RAMI, AAS). Kein Produkt, keine Referenzarchitektur. Score 0.",Stackable Dokumentation (docs.stackable.tech) — kein RAMI/AAS-Produkt
Semantik- & Modellierungslayer (Context),K15: Branchenspezifische Informationsmodelle,DE,IONOS,1.0,"IONOS selbst hat keine Industriemodell-Unterstützung für RAMI 4.0 oder AAS. Wichtig: IONOS ist Gaia-X Day-1-Member und an sechs von elf geförderten Gewinnerskizzen 2021 beteiligt — jedoch ist Gaia-X ein Datensouveränitäts-Framework (relevant für K18/K20), KEIN Industriemodellstandard (RAMI/AAS). Gaia-X-Mitgliedschaft rechtfertigt keinen höheren Score bei K15. Score 1 bleibt (RAMI/AAS nur über Eigenbau).","IONOS Gaia-X Day-1-Member (cloud.ionos.de/zertifikate): 'IONOS Cloud ist Mitglied der ersten Stunde im Projekt Gaia-X'; KLARSTELLUNG: Gaia-X ≠ RAMI 4.0/AAS — Gaia-X ist ein Datenökosystem-Framework (gaia-x.eu), AAS/RAMI sind IEC/ZVEI-Industriestandards — keine Überschneidung bei K15"
Semantik- & Modellierungslayer (Context),K15: Branchenspezifische Informationsmodelle,DE,Open Telekom Cloud (OTC),2.0,"T-Systems ist aktiver Partner in Catena-X und Manufacturing-X (beide AAS-basiert). OTC als Infrastruktur darunter. Kein nativer AAS-Connector in OTC-Console, aber Partnerökosystem liefert AAS-Tooling. Score 2 (IaaS-Niveau mit nachgewiesenem Partnerweg).",T-Systems Catena-X Engagement (t-systems.com/catena-x); Manufacturing-X AAS-Referenz (plattform-i40.de)
Semantik- & Modellierungslayer (Context),GESAMT (Layer-Durchschnitt),USA,AWS,3.33,"Summe: 10 (K13:4 + K14:4 + K15:2), Durchschnitt: 3.33 über 3 Kriterien — unverändert",Aggregiert aus Einzelbewertungen
