Kriterium;Region;Anbieter;Score (1-5);Begründung;Quellen
19 Sicherheitsarchitektur & Zugriffskontrolle;DE;IONOS;3;DSGVO-konform und ISO-zertifiziert. Solides Basis-IAM, aber es fehlen tief integrierte, KI-gestützte Zero-Trust-Sicherheitssuiten im Vergleich zu Hyperscalern.;https://european.cloud/provider/ionos/
19 Sicherheitsarchitektur & Zugriffskontrolle;DE;Open Telekom Cloud (OTC);4;Erfüllt strengste Enterprise- und Regierungsstandards inkl. BSI C5 und TISAX (Automotive). Sehr hohes Sicherheitsniveau für sensible Branchen.;https://european.cloud/provider/open-telekom-cloud/
19 Sicherheitsarchitektur & Zugriffskontrolle;DE;STACKIT;4;BSI C5 Type 2 zertifiziert (höchster deutscher Standard), ISO 27001, Confidential Computing. Komplette Isolierung vom US CLOUD Act.;https://www.stxnext.com/blog/sovereign-cloud-with-stackit
19 Sicherheitsarchitektur & Zugriffskontrolle;USA;AWS;5;Bietet über 143 Compliance-Zertifikate, GuardDuty, Macie und tiefgreifende IAM-Rollen. Branchenstandard für Cloud-Security.;https://kaopiz.com/en/articles/aws-vs-azure-vs-google-cloud/
19 Sicherheitsarchitektur & Zugriffskontrolle;USA;Azure;5;Tief integriert in Entra ID (ehemals Active Directory), Microsoft Defender for Cloud, über 100 Zertifizierungen (inkl. SOC 2, ISO).;https://svitla.com/blog/cloud-platforms-comparison/
19 Sicherheitsarchitektur & Zugriffskontrolle;USA;Google Cloud;5;Standardmäßige E2E-Verschlüsselung, Cloud Armor, Security Command Center. Starker Zero-Trust-Architektur-Ansatz (BeyondCorp).;https://kaopiz.com/en/articles/aws-vs-azure-vs-google-cloud/
20 Resilienz & Disaster Recovery;DE;IONOS;3;Bietet doppelte Redundanz (4 Kopien) bei Block-Storage und dezentrale europäische Rechenzentren, aber eingeschränktere DR-Automatisierung als AWS.;https://cloud.ionos.com/storage/block-storage
20 Resilienz & Disaster Recovery;DE;Open Telekom Cloud (OTC);4;Nutzt Twin-Core-Regionen (z.B. Magdeburg/Biere), die physisch getrennt sind und synchrone Multi-Copy-Spiegelung für höchste Ausfallsicherheit bieten.;https://european.cloud/provider/open-telekom-cloud/
20 Resilienz & Disaster Recovery;DE;STACKIT;3;Georedundante RZ in Deutschland (Neckarsulm) und Österreich (Ostermiething). Hohe lokale Verfügbarkeit (99,98 Prozent), aber keine globale Skalierung.;https://www.stxnext.com/blog/sovereign-cloud-with-stackit
20 Resilienz & Disaster Recovery;USA;AWS;5;Größte globale Reichweite mit über 33 Regionen und 105 Availability Zones (AZs). Extreme Ausfallsicherheit für S3-Speicher (11 nines).;https://www.digitalocean.com/resources/articles/comparing-aws-azure-gcp
20 Resilienz & Disaster Recovery;USA;Azure;5;Über 60 globale Regionen. Architektonischer Vorteil durch geografisch getrennte Region Pairs für höchste Disaster-Recovery-Sicherheit.;https://www.digitalocean.com/resources/articles/comparing-aws-azure-gcp
20 Resilienz & Disaster Recovery;USA;Google Cloud;5;Eigenes globales Subsea-Glasfasernetzwerk sorgt für unübertroffene Latenz und Live-Migrations-Fähigkeiten bei Hardwareausfällen.;https://www.digitalocean.com/resources/articles/comparing-aws-azure-gcp
