Layer,Kriterium,Region,Anbieter,Score,Begründung,Quellen
Ingestion- & Transport-Layer (IT/OT Bridge),K10: Data Bridge Konzepte,USA,AWS,4.0,"AWS IoT Greengrass V2 bietet lokales IPC-Pub/Sub, Stream Manager und bidirektionale Cloud-Bridge-Funktionalität. Aktiv gepflegt: v2.16.0 wurde November 2025 veröffentlicht — kein EOL für V2. Wichtig: Nur Greengrass V1 läuft auf EOL (Retirement: 1. Oktober 2026 laut offizieller AWS-Seite); V2 ist uneingeschränkt produktionsreif. Score 4 ✅ bestätigt.","AWS IoT Greengrass V2 – What's New (docs.aws.amazon.com/greengrass/v2/developerguide/greengrass-v2-whats-new.html); AWS Greengrass V1 EOL-Hinweis: 'On October 7, 2026, AWS will end support for AWS IoT Greengrass Version 1' (docs.aws.amazon.com/greengrass/v2/developerguide/what-is-iot-greengrass.html); Greengrass V2 Release v2.16.0 Nov 2025 (docs.aws.amazon.com/greengrass/v2/developerguide/greengrass-release-2025-11-06.html)"
Ingestion- & Transport-Layer (IT/OT Bridge),K10: Data Bridge Konzepte,USA,Azure,5.0,"Azure IoT Operations (einschließlich MQTT Broker) ist vollständig GA: Release 2510 im Oktober 2025 als Generally Available angekündigt. Hinweis: Verwaltung via Kubernetes Deployment Manifests ist Preview — der MQTT Broker selbst und alle Kern-Fähigkeiten von Azure IoT Operations sind GA. Industrietauglicher, edge-nativer MQTT Broker mit Unified-Namespace-Architektur. Score 5 ✅ bestätigt, Einschränkung auf Kubernetes-Manifest-Management (Preview) notiert.",Azure IoT Operations 2510 GA Announcement: 'the general availability of Azure IoT Operations 2510' (techcommunity.microsoft.com/blog/iotblog/azure-iot-operations-2510-now-generally-available/4469464); Azure IoT Operations GA (Nov 2024): techcommunity.microsoft.com/blog/iotblog/azure-iot-operations-now-generally-available/4282445; Kubernetes Manifests = Preview (learn.microsoft.com/azure/iot-operations/manage-mqtt-broker/overview-broker)
Ingestion- & Transport-Layer (IT/OT Bridge),K10: Data Bridge Konzepte,USA,Google Cloud,1.0,Nach Google IoT Core Sunset (Aug 2023) kein lokaler Data-Bridge-Service oder Edge-MQTT-Broker mehr vorhanden. Cloud Pub/Sub ist reiner Cloud-Service ohne Edge/OT-Bridge-Funktion. Score 1 ✅ bestätigt.,Google Cloud Pub/Sub (cloud.google.com/pubsub) — kein Edge-Bridge-Produkt; Google IoT Core eingestellt Aug 2023
Ingestion- & Transport-Layer (IT/OT Bridge),K10: Data Bridge Konzepte,DE,Stackable,2.0,Stackable Kafka Operator kann als Message-Bridge eingesetzt werden (Eigenimplementierung erforderlich). Kein dedizierter managed Bridge-Service. Score 2 ✅ bestätigt.,Stackable Kafka Operator (docs.stackable.tech/kafka)
Ingestion- & Transport-Layer (IT/OT Bridge),K10: Data Bridge Konzepte,DE,IONOS,1.0,"IONOS bietet keine managed Messaging-Bridge oder Edge-Gateway-Lösung für IT/OT-Konvergenz. 'Event Streams for Apache Kafka' ist ein Cloud-Streaming-Service, deckt aber keine lokale OT/Edge-Bridge-Funktion ab. Score 1 ✅ bestätigt (nur K11 betroffen, nicht K10).",IONOS Cloud Produktübersicht (docs.ionos.com/cloud) — kein Edge-Bridge-Produkt
Ingestion- & Transport-Layer (IT/OT Bridge),K10: Data Bridge Konzepte,DE,Open Telekom Cloud (OTC),2.0,"OTC DMS (Distributed Message Service) basiert auf Kafka, bietet aber keine native OT-Bridge-Funktionalität. Score 2 ✅ bestätigt.",OTC DMS (docs.otc.t-systems.com/distributed-message-service)
Ingestion- & Transport-Layer (IT/OT Bridge),K11: Managed Streaming Services,USA,AWS,5.0,"Amazon Kinesis (Data Streams, Firehose, Data Analytics) + Amazon MSK (Managed Streaming for Apache Kafka) — mehrere best-in-class Streaming-Dienste, alle GA, aktiv gepflegt. Score 5 ✅ bestätigt.",Amazon Kinesis (aws.amazon.com/kinesis); Amazon MSK (aws.amazon.com/msk)
Ingestion- & Transport-Layer (IT/OT Bridge),K11: Managed Streaming Services,USA,Azure,5.0,"Azure Event Hubs (Kafka-kompatibel, bis 100 MB/s Ingestion, Geo-DR), Azure Service Bus — best-in-class für Event-Streaming. GA, aktiv gepflegt. Score 5 ✅ bestätigt.",Azure Event Hubs (learn.microsoft.com/azure/event-hubs/)
Ingestion- & Transport-Layer (IT/OT Bridge),K11: Managed Streaming Services,USA,Google Cloud,5.0,"Google Cloud Pub/Sub ist vollständig managed, serverless, mit globaler Skalierung. GA, aktiv. Score 5 ✅ bestätigt.",Google Cloud Pub/Sub (cloud.google.com/pubsub)
Ingestion- & Transport-Layer (IT/OT Bridge),K11: Managed Streaming Services,DE,Stackable,3.0,"Stackable bietet Apache Kafka und Apache NiFi als Kubernetes-Operatoren — semi-managed (Plattform übernimmt Ops, kein vollständig managed Service). Score 3 ✅ bestätigt.",Stackable Kafka Operator (docs.stackable.tech/kafka)
