Kriterium;Region;Anbieter;Score;Begründung;Quellen
Echtzeit-Datenaufnahme (Real-Time Ingestion);USA;AWS;5;AWS bietet mit Amazon Kinesis (Data Streams, Firehose), Amazon MSK (Managed Kafka), AWS IoT Core und Amazon EventBridge ein best-in-class Ökosystem für Echtzeit-Ingestion. Kinesis Data Streams unterstützt Sub-Sekunden-Latenz und skaliert auf Millionen Events/s. MSK bietet vollständig verwaltetes Apache Kafka. IoT Core unterstützt MQTT, HTTPS und WebSocket. EventBridge ermöglicht event-driven Architekturen mit über 200 Integrationen. CDC wird über AWS DMS mit kontinuierlicher Replikation abgedeckt.;"https://aws.amazon.com/kinesis/; https://aws.amazon.com/msk/; https://aws.amazon.com/iot-core/; https://aws.amazon.com/eventbridge/"
Echtzeit-Datenaufnahme (Real-Time Ingestion);USA;Azure;5;Azure Event Hubs verarbeitet Millionen Events/s mit Sub-Sekunden-Latenz und ist Kafka-protokollkompatibel. Azure IoT Hub unterstützt MQTT, AMQP und HTTPS für IoT-Geräte. Azure Stream Analytics bietet serverlose Echtzeit-Verarbeitung. CDC wird über Azure Data Factory Change Data Capture bzw. Debezium auf Event Hubs unterstützt. Event Grid ermöglicht reaktive Architekturen.;"https://azure.microsoft.com/en-us/products/event-hubs/; https://azure.microsoft.com/en-us/products/iot-hub/; https://learn.microsoft.com/en-us/azure/stream-analytics/"
Echtzeit-Datenaufnahme (Real-Time Ingestion);USA;Google Cloud;4;Google Cloud Pub/Sub bietet globale, serverlose Echtzeit-Messaging-Infrastruktur mit Sub-Sekunden-Latenz und automatischer Skalierung. Dataflow (Apache Beam) vereinheitlicht Stream- und Batch-Verarbeitung. Datastream bietet managed CDC für Oracle, MySQL, PostgreSQL. JEDOCH: Google IoT Core wurde im Juli 2023 eingestellt und hinterlässt eine signifikante Lücke im IoT-Ingestion-Bereich, die nur durch Partner-Lösungen (z.B. ClearBlade) gefüllt werden kann. Im Vergleich zu AWS (IoT Core mit MQTT/WebSocket) und Azure (IoT Hub mit MQTT/AMQP) fehlt damit eine native IoT-Komponente. Pub/Sub allein kompensiert das nicht vollständig, da Device-Management und Protokoll-Translation fehlen. Score 4 statt 5, da das Gesamtpaket trotz Pub/Sub-Stärke eine Lücke aufweist, die AWS und Azure nicht haben.;"https://cloud.google.com/pubsub; https://cloud.google.com/dataflow; https://cloud.google.com/datastream"
Echtzeit-Datenaufnahme (Real-Time Ingestion);DE;STACKIT;2;STACKIT bietet keinen nativen Managed-Streaming-Dienst (kein Managed Kafka, kein Event Hub). Echtzeit-Ingestion ist nur über Self-Hosting auf STACKIT Kubernetes Engine (SKE) oder VMs möglich (z.B. selbst betriebenes Kafka/Redpanda). Der STACKIT Marketplace bietet einige Partner-Lösungen, aber keinen standardisierten Pfad für Real-Time Ingestion. Kein dedizierter IoT- oder CDC-Service vorhanden.;"https://docs.stackit.cloud/; https://www.stackit.de/en/cloud/products-services/; https://explore.iteratec.com/blog/eu-sovereign-cloud-teil-2-cloud-services-in-der-praxis-featureumfang-und-portierbarkeit"
Echtzeit-Datenaufnahme (Real-Time Ingestion);DE;IONOS;2;IONOS bietet einen 'Data Streaming'-Dienst (Managed Kafka) an, der jedoch im Funktionsumfang begrenzt ist und kein breites Ökosystem für IoT-Protokolle oder CDC bietet. Die Big-Data-Plattform erlaubt Echtzeit-Verarbeitung auf IaaS-Ebene, aber es fehlen serverlose, vollintegrierte Streaming-Dienste. Kein nativer IoT-Hub oder CDC-Service. Hauptsächlich IaaS-basierter Eigenbau nötig.;"https://cloud.ionos.de/loesungen/big-data; https://cloud.ionos.com/prices"
Echtzeit-Datenaufnahme (Real-Time Ingestion);DE;Open Telekom Cloud (OTC);3;OTC bietet den Distributed Message Service (DMS) mit vollständig verwaltetem Apache Kafka sowie einen dedizierten Data Ingestion Service (DIS) für Echtzeit-Streaming. DIS unterstützt das Einlesen von Datenströmen und Weiterleitung an OBS/DLI. DCS (Distributed Cache Service) kann als In-Memory-Layer für Sub-Millisekunden-Latenz kombiniert werden. Allerdings fehlen breite IoT-Protokollunterstützung (kein MQTT-Hub) und ein nativer CDC-Service. Gesamtangebot solide aber nicht auf Hyperscaler-Niveau.;"https://www.open-telekom-cloud.com/en/products-services/core-services/distributed-message-service; https://open-telekom-cloud.com/de/produkte-services/core-services/data-ingestion-service; https://www.open-telekom-cloud.com/de/produkte-services/core-services/distributed-cache-service"
Batch-Ingestion & ETL/ELT;USA;AWS;5;AWS Glue ist der de-facto Standard für serverlose ETL/ELT in der Cloud mit nativem Spark, über 100 vorgefertigten Konnektoren (JDBC, SaaS, SAP, Salesforce etc.), Glue DataBrew für No-Code-Transformationen und integriertem Data Catalog. AWS DMS ermöglicht Datenbank-Migrationen im Batch. S3 als universeller Staging-Layer. Step Functions orchestrieren komplexe Batch-Pipelines. Glue unterstützt Python/Scala/Spark nativ.;"https://aws.amazon.com/glue/; https://aws.amazon.com/dms/; https://docs.aws.amazon.com/glue/latest/dg/aws-glue-programming-etl-connect.html"
Batch-Ingestion & ETL/ELT;USA;Azure;5;Azure Data Factory (ADF) bietet 100+ Konnektoren inkl. SAP, Salesforce, Oracle, Dynamics 365 und On-Premises-Systeme via Self-Hosted Integration Runtime. ADF unterstützt ETL und ELT nativ mit Mapping Data Flows (Spark-basiert). Integration mit Azure Synapse Analytics für ELT direkt im Data Warehouse. Copy Activity ermöglicht Batch-Kopien in Petabyte-Skala. Power Query-Integration für Citizen-Developer.;"https://azure.microsoft.com/en-us/products/data-factory/; https://learn.microsoft.com/en-us/azure/data-factory/connector-overview; https://learn.microsoft.com/en-us/azure/data-factory/concepts-data-flow-overview"
Batch-Ingestion & ETL/ELT;USA;Google Cloud;5;Google Cloud Dataflow (Apache Beam) vereinheitlicht Batch und Stream. Cloud Data Fusion (basierend auf CDAP) bietet eine visuelle ETL/ELT-Plattform mit 200+ Konnektoren inkl. SAP, Salesforce, JDBC. Dataproc (Managed Spark/Hadoop) für große Batch-Workloads. BigQuery unterstützt natives ELT mit SQL direkt im Warehouse. Cloud Composer (Managed Airflow) orchestriert Pipelines.;"https://cloud.google.com/dataflow; https://cloud.google.com/data-fusion; https://cloud.google.com/dataproc; https://cloud.google.com/bigquery"
Batch-Ingestion & ETL/ELT;DE;STACKIT;2;STACKIT bietet keinen Managed-ETL/ELT-Dienst (kein Äquivalent zu AWS Glue oder Azure Data Factory). Allerdings stellt die STACKIT Kubernetes Engine (SKE) eine solide Plattform bereit, auf der Apache Spark, dbt, Airflow oder andere ETL-Tools self-hosted werden können. S3-kompatibler Object Storage ermöglicht grundlegende Batch-Datenverarbeitung. Im Vergleich zu IONOS (Score 2), das ebenfalls keinen dedizierten ETL-Dienst hat aber eine Big-Data-Plattform mit Hadoop/Spark anbietet, ist STACKIT minimal schwächer (kein Managed Spark), aber die K8s-Basis ermöglicht dennoch funktionale Batch-Pipelines. Score 2 statt 1, da die Infrastruktur-Grundlage (K8s + S3) mehr bietet als 'quasi nicht existent' (Score 1). OTC mit Score 3 bleibt korrekt darüber, da ModelArts und DLI native Dienste für Batch-Verarbeitung bieten.;"https://docs.stackit.cloud/; https://www.stackit.de/en/cloud/products-services/"
