Kriterium,Region,Anbieter,Score,Begründung,Quellen
Ad-hoc-Exploration & Notebooks,USA,AWS,5,"Amazon SageMaker Studio bietet eine vollständig verwaltete IDE mit JupyterLab-Notebooks, integriertem Terminal, Git-Integration und direktem Zugriff auf S3, Redshift, Athena. SageMaker Studio Lab (kostenlos) für Einstieg. EMR Studio bietet Managed Jupyter/Zeppelin für Spark-Workloads. Glue Studio Notebooks für serverlose Spark-Exploration. Athena Notebooks (Jupyter-basiert) für SQL-Exploration. Multi-Kernel-Support (Python, R, Scala, PySpark). Umfassendstes Notebook-Ökosystem aller Anbieter.",https://aws.amazon.com/sagemaker/studio/; https://aws.amazon.com/emr/features/studio/; https://docs.aws.amazon.com/athena/latest/ug/notebooks-spark.html
Ad-hoc-Exploration & Notebooks,USA,Azure,5,"Azure Machine Learning Studio bietet Managed Jupyter Notebooks mit Compute Instances (GPU/CPU), integriertem Terminal und VS Code-Remote-Anbindung. Synapse Studio integriert Notebooks (PySpark, Scala, SQL, C#) direkt in die Analytics-Plattform. Microsoft Fabric Notebooks bieten One-Click-Spark-Exploration mit Lakehouse-Integration. Databricks on Azure als Premium-Option. Azure Notebooks unterstützen Co-Authoring in Echtzeit. Besonders stark durch Fabric-Synapse-ML-Integration.",https://learn.microsoft.com/en-us/azure/machine-learning/; https://learn.microsoft.com/en-us/azure/synapse-analytics/spark/apache-spark-notebook-concept; https://learn.microsoft.com/en-us/fabric/
Ad-hoc-Exploration & Notebooks,USA,Google Cloud,5,"Vertex AI Workbench bietet Managed JupyterLab-Notebooks mit nahtloser BigQuery-, GCS- und Dataproc-Integration. Colab Enterprise (managed Google Colab in GCP) bietet kollaborative Notebooks mit GPU/TPU-Zugang und VPC-Integration. Dataproc Jupyter-Integration für Spark-Notebooks. BigQuery Notebooks ermöglichen SQL+Python-Exploration direkt in der BigQuery-Konsole. Besonders stark durch Colab-Ökosystem und BigQuery-Python-Integration.",https://cloud.google.com/vertex-ai/docs/workbench/; https://cloud.google.com/colab/docs; https://cloud.google.com/bigquery/docs/notebooks-introduction
Ad-hoc-Exploration & Notebooks,DE,STACKIT,2,"STACKIT bietet keinen nativen Managed-Notebook-Dienst. Jedoch können JupyterHub/JupyterLab auf der STACKIT Kubernetes Engine (SKE) oder auf VMs self-hosted betrieben werden. STACKIT AI Model Serving (für LLM-Inferenz) ist verfügbar, aber keine integrierte Notebook-Umgebung für Datenexploration. Kein Äquivalent zu SageMaker Studio, Vertex Workbench oder Synapse Notebooks. Grundsätzlich möglich über Eigenbau, aber kein Plattform-Feature.",https://docs.stackit.cloud/; https://www.stackit.de/en/cloud/products-services/; https://marketplace.stackit.cloud/
Ad-hoc-Exploration & Notebooks,DE,IONOS,2,"IONOS bietet über die Big-Data-Plattform Apache Zeppelin als integrierte Notebook-Umgebung für Spark-Exploration. Jupyter kann auf Managed Kubernetes oder VMs self-hosted werden. Allerdings ist Zeppelin nur als Teil des Hadoop/Spark-Clusters verfügbar (nicht standalone serverless), und es fehlt eine dedizierte Data-Science-IDE mit Git-Integration, Experiment-Tracking oder Multi-Kernel-Support auf Plattform-Niveau. Grundlegende Fähigkeit vorhanden.",https://cloud.ionos.de/loesungen/big-data; https://explore.iteratec.com/blog/eu-sovereign-cloud-teil-2-cloud-services-in-der-praxis-featureumfang-und-portierbarkeit
Ad-hoc-Exploration & Notebooks,DE,Open Telekom Cloud,3,"OTC bietet über den MapReduce Service (MRS) integrierte Zeppelin-Notebooks für Spark-Exploration. Data Lake Insight (DLI) ermöglicht SQL-basierte Ad-hoc-Exploration über eine Web-Konsole. ModelArts bietet integrierte JupyterLab-Notebooks (DevEnviron) mit GPU-Support für ML-Exploration, direktem OBS-Zugriff und vorinstallierten ML-Frameworks (TensorFlow, PyTorch). ModelArts-Notebooks kommen dem Hyperscaler-Niveau am nächsten unter den DE-Anbietern, sind aber im Funktionsumfang (Git-Integration, Extensions, Kollaboration) eingeschränkt.",https://docs.otc.t-systems.com/modelarts/; https://www.open-telekom-cloud.com/de/produkte-services; https://docs.otc.t-systems.com/mapreduce-service/
ML-Plattform & AutoML,USA,AWS,5,"Amazon SageMaker ist eine End-to-End-ML-Plattform mit SageMaker Autopilot (AutoML für Tabellendaten mit automatischer Modellauswahl, Feature-Engineering und Hyperparameter-Tuning). SageMaker Training unterstützt verteiltes Training (Horovod, PyTorch DDP, DeepSpeed) auf GPU-Clustern. SageMaker Experiments für Experiment-Tracking, Model Registry für Versionierung, Pipelines für MLOps. SageMaker JumpStart bietet 400+ vortrainierte Foundation Models. SageMaker Canvas für No-Code-ML. Industriestandard.",https://aws.amazon.com/sagemaker/; https://aws.amazon.com/sagemaker/autopilot/; https://aws.amazon.com/sagemaker/jumpstart/
ML-Plattform & AutoML,USA,Azure,5,"Azure Machine Learning bietet eine umfassende ML-Plattform mit Automated ML (AutoML für Classification, Regression, Time-Series Forecasting, Computer Vision und NLP). Verteiltes Training über AML Compute Clusters (Horovod, DeepSpeed, ONNX Runtime Training). MLflow-native Integration für Experiment-Tracking. Model Registry, Responsible AI Dashboard und Managed Endpoints für Deployment. Azure OpenAI Service für Foundation Models. Azure AI Studio als unified AI-Plattform. Stärkstes Enterprise-ML-Ökosystem durch Microsoft-Integration.",https://azure.microsoft.com/en-us/products/machine-learning/; https://learn.microsoft.com/en-us/azure/machine-learning/concept-automated-ml; https://azure.microsoft.com/en-us/products/ai-studio/
ML-Plattform & AutoML,USA,Google Cloud,5,"Vertex AI ist Googles unified ML-Plattform mit AutoML für Tabellendaten, Bilder, Video, Text und Translation – breiteste AutoML-Abdeckung aller Anbieter. Vertex AI Training unterstützt verteiltes Training auf GPUs und TPUs (exklusiv bei GCP). Vertex AI Pipelines (Kubeflow-basiert) für MLOps. Model Registry, Experiments, Feature Store und Model Monitoring integriert. BigQuery ML ermöglicht ML direkt in SQL. Gemini und PaLM über Model Garden. TPU-Zugang als Differentiator für Large-Scale-Training.",https://cloud.google.com/vertex-ai; https://cloud.google.com/vertex-ai/docs/beginner/beginners-guide; https://cloud.google.com/bigquery/docs/bqml-introduction
ML-Plattform & AutoML,DE,STACKIT,2,"STACKIT bietet keinen vollständigen ML-Plattform-Dienst. Seit 2024/25 gibt es STACKIT AI Model Serving für LLM-Inferenz (z.B. GPT-OSS 20B, Llama-basierte Modelle) als Managed Service. Allerdings fehlen AutoML, Experiment-Tracking, verteiltes Training, Feature Store und MLOps-Pipelines als Plattform-Features. Training von Custom Models muss auf VMs oder Kubernetes selbst aufgesetzt werden. LLM-Inferenz ist ein starker Einzeldienst, aber keine umfassende ML-Plattform.",https://docs.stackit.cloud/; https://www.stackit.de/en/product/stackit-ai-model-serving/; https://marketplace.stackit.cloud/
