Nr;Kriterium;Beschreibung
1;Echtzeit-Datenaufnahme (Real-Time Ingestion);Fähigkeit, Datenströme in Echtzeit (Sub-Sekunde) aus heterogenen Quellen (IoT, APIs, Change Data Capture) aufzunehmen und sofort verfügbar zu machen. Bewertung: unterstützte Protokolle, maximale Event-Rate.
2;Batch-Ingestion & ETL/ELT;Leistungsfähigkeit bei der Verarbeitung großer Datenmengen im Batch (Datenbank-Dumps, Dateisysteme). Unterstützung für ETL- und ELT-Paradigmen, vorgefertigte Konnektoren zu Enterprise-Systemen (ERP, CRM, MES).
3;Konnektoren-Ökosystem & Marketplace;Breite und Tiefe verfügbarer Konnektoren (Datenbanken, SaaS-APIs, Dateisysteme, Legacy-Systeme, inkl. industrieller Protokolle wie MQTT, OPC-UA, Modbus TCP wo relevant). Anzahl nativer Konnektoren, Custom Connectors (SDK), Connector-Marketplace mit Community-Beiträgen.
4;Data-Lakehouse-Architektur;Unterstützung offener Tabellenformate (Delta Lake, Apache Iceberg, Apache Hudi) zur Vereinigung von Data-Lake-Flexibilität und Data-Warehouse-Performance. Schema-Evolution, Time-Travel.
5;Datenformat-Flexibilität;Fähigkeit, strukturierte (relational), semi-strukturierte (JSON, XML, Avro, Parquet) und unstrukturierte Daten (Bilder, Video, Logs, Audio) nativ zu speichern und zu verarbeiten. Schema-on-Read vs. Schema-on-Write, automatische Format-Konvertierung.
6;Storage-Tiering & Lifecycle-Management;Automatische, regelbasierte Verschiebung von Daten zwischen Hot-, Warm- und Cold-/Archive-Storage-Tiers zur Kostenoptimierung.
7;Skalierbarkeit (Compute & Storage);Elastische, unabhängige Skalierung von Rechen- und Speicherressourcen. Serverless-Compute und On-Demand-Cluster.
8;Stream-Processing & Complex Event Processing;Native Stream-Processing-Engines (Flink, Spark Structured Streaming) mit Windowing, Stateful Processing und Event-Pattern-Erkennung.
9;Analytische Query-Engine;Reife der analytischen Query-Engine: MPP-Architektur, automatische Query-Optimierung (Adaptive Query Execution, Predicate Pushdown), materialisierte Views, Ergebnis-Caching, Concurrency-Handling bei vielen gleichzeitigen Nutzern, Unterstützung für Standard-SQL und erweiterte Analytik-Funktionen (Window Functions, Geospatial, Approximate Queries).
10;BI- & Visualisierungs-Integration;Native oder nahtlose Integration führender BI-Tools (Looker, Tableau, QuickSight, Grafana). Self-Service-Analytics für Fachanwender.
11;Ad-hoc-Exploration & Notebooks;Verfügbarkeit integrierter Notebook-Umgebungen (Jupyter, Zeppelin, Databricks Notebooks, SageMaker Studio) für explorative Datenanalyse und Prototyping.
12;ML-Plattform & AutoML;Integrierte Machine-Learning-Plattform mit AutoML für automatisierte Modellauswahl, Hyperparameter-Tuning und verteiltes Training.
13;MLOps, Modell-Lifecycle & Reproduzierbarkeit;End-to-End-MLOps: Modell-Registry, A/B-Testing, Canary Deployments, Monitoring von Modell-Performance, Automated Retraining bei Drift. Inkl. Reproduzierbarkeit von ML-Experimenten und Datenverarbeitungen (Environment-Snapshots, Experiment-Logs, Versionierung).
14;Feature Store;Zentrale Stelle zur Standardisierung, Versionierung, Bereitstellung und Wiederverwendung von ML-Features für Training und Serving.
15;Generative AI & LLM-Integration;Zugang zu Foundation Models, RAG-Architekturen (Retrieval-Augmented Generation), Vektordatenbanken, Prompt-Management und Fine-Tuning-Infrastruktur als Managed Service.
16;Modell-Erklärbarkeit & Fairness;Tools zur Interpretierbarkeit von Modellen (SHAP, LIME, Counterfactuals), Bias-Erkennung und Fairness-Metriken für regulatorische Anforderungen.
17;Data Governance, Katalogisierung, Metadaten & Lineage;Zentraler Datenkatalog mit Tagging, Zugriffsrichtlinien, Datenbesitz-Zuweisung, Policy-Enforcement und Business-Glossar. Inkl. aktivem Metadatenmanagement (Schema-Info, Statistiken, Datenprofile, Empfehlungen) vs. passivem (manuell gepflegter Katalog). Inkl. automatischer, lückenloser Dokumentation der Datenherkunft und aller Transformationsschritte (Data-Lineage & Provenienz) als integrierter Bestandteil des Katalogs.
18;Datenqualitätsmanagement;Integrierte Tools zur Profiling, Validierung und kontinuierlichen Überwachung der Datenqualität (Completeness, Accuracy, Consistency, Freshness) mit automatischen Alerts.
19;Sicherheitsarchitektur & Zugriffskontrolle;Verschlüsselung (at rest, in transit, in use), fein-granulare Zugriffskontrolle (RBAC, ABAC, Row-/Column-Level Security), IAM-Integration, Netzwerkisolierung (VPC, Private Endpoints).
20;Resilienz & Disaster Recovery;Hochverfügbarkeit (Multi-AZ, Multi-Region), automatisches Failover, RPO/RTO-Ziele, Backup-Strategien, Chaos-Engineering-Fähigkeiten.
21;Edge-Computing & lokale Verarbeitung;Native Unterstützung für Datenverarbeitung, Inferenz und Regelwerke an der Edge mit Store-and-Forward, deterministischer Latenz und zentralem Management.
22;Multi-Cloud, Hybrid & Portabilität;Fähigkeit, Workloads über mehrere Cloud-Provider und On-Premises-Umgebungen zu betreiben (Arc, Anthos, Outposts). Inkl. Bewertung des Vendor-Lock-in-Grads: Nutzung offener Standards, Portabilität von Daten, Pipelines (IaC) und Modellen zu anderen Anbietern.
23;Infrastructure as Code & DataOps;Unterstützung für IaC-Tools (Terraform, Pulumi, Crossplane), GitOps-Workflows, Pipeline-Orchestrierung (Airflow, Dagster) und automatisiertes Testing von Datenpipelines.
24;Monitoring, Observability & AIOps;Integrierte Werkzeuge zur Überwachung von Pipelines, Ressourcen-Auslastung, Distributed Tracing, Alerting und KI-gestützte Anomalie-Erkennung. Inkl. Self-Healing-Fähigkeiten (automatische Fehlerbehebung, proaktive Anomalie-Erkennung auf Pipeline-Ebene).
25;API-First & Entwicklerfreundlichkeit;Durchgängige API-Abdeckung (REST, gRPC, SDKs in mehreren Sprachen), CLI-Tools, IaC-Support, Developer Experience und Dokumentationsqualität.
