Layer,Kriterium,Region,Anbieter,Score,Begründung,Quellen
Southbound Connectivity (Field Capture),K4: Industrielle Protokollbreite,USA,AWS,4.0,AWS IoT SiteWise Edge Gateway unterstützt OPC-UA nativ als primären Protokoll-Connector. Kein nativer Modbus- oder PROFINET-Stack out-of-the-box; diese werden über Drittanbieter-Gateways (z. B. Greengrass Connectors) realisiert.,AWS IoT SiteWise OPC-UA Source Config (docs.aws.amazon.com/iot-sitewise/latest/userguide/configure-opcua-source.html)
Southbound Connectivity (Field Capture),K4: Industrielle Protokollbreite,USA,Azure,4.0,"Azure IoT Operations bietet nativen OPC-UA-Connector (OPC Publisher, Microsoft-maintained). Modbus via Azure IoT Edge-Module (Community). PROFINET nicht nativ abgedeckt.",Microsoft OPC Publisher (azure.github.io/Industrial-IoT/); Azure IoT Edge Module Marketplace
Southbound Connectivity (Field Capture),K4: Industrielle Protokollbreite,USA,Google Cloud,1.0,"Nach IoT Core Sunset (Aug. 2023) kein nativer industrieller Protokoll-Stack verfügbar. OPC-UA, Modbus etc. nur über Drittanbieter-Partner (z. B. ClearBlade) realisierbar.",Google Cloud IoT Core Retirement Notice (cloud.google.com/iot-core); ClearBlade IoT Platform as Google Cloud IoT Core Successor
Southbound Connectivity (Field Capture),K4: Industrielle Protokollbreite,DE,Stackable,1.0,"KORREKTUR (war 0): Stackable unterstützt Apache NiFi als Kubernetes-Operator, der theoretisch OPC-UA via Community-Processor anbinden kann. Kein nativer, produktionsreifer industrieller Protokoll-Stack; nur über Eigenbau/NiFi-Eigenimplementierung.",Stackable NiFi Operator (docs.stackable.tech/nifi); Apache NiFi OPC-UA Bundle (github.com/apache/nifi)
Southbound Connectivity (Field Capture),K4: Industrielle Protokollbreite,DE,IONOS,0.0,"IONOS ist reiner IaaS/PaaS-Anbieter. Kein industrieller Protokoll-Stack, kein IoT-Produkt. Score 0 (nicht sinnvoll anwendbar).",IONOS Cloud Produktübersicht (docs.ionos.com/cloud)
Southbound Connectivity (Field Capture),K4: Industrielle Protokollbreite,DE,Open Telekom Cloud (OTC),3.0,"KORREKTUR (war 2): Cumulocity IoT (via T-Systems Cloud of Things) unterstützt OPC-UA, Modbus, EtherNet/IP nativ. Guter DIY-Stack / Marketplace-Ansatz, kein AWS/Azure-Kernprodukt-Niveau, aber klar mehr als IaaS.","Cumulocity IoT: 'Supported protocols include OPC UA, Modbus, EtherNet/IP' (cumulocity.com/guides/protocol-integration/)"
Southbound Connectivity (Field Capture),K5: Massive Cloud-Ingestion,USA,AWS,5.0,"AWS IoT Core ist best-in-class für MQTT-Ingestion: skaliert auf Milliarden Geräte, unterstützt MQTT 3.1.1, HTTP/S, WebSockets. Vollständig managed, SLA-abgesichert.",AWS IoT Core Features (aws.amazon.com/iot-core/features/)
Southbound Connectivity (Field Capture),K5: Massive Cloud-Ingestion,USA,Azure,5.0,"Azure IoT Hub unterstützt MQTT 3.1.1 (GA) und AMQP, HTTPS vollständig. MQTT 5.0 ist seit 2021 in 'Public Preview', aber noch NICHT GA (Stand März 2026). Score 5 bleibt gültig auf Basis der produktionsreifen GA-Protokolle (MQTT 3.1.1, AMQP, HTTPS) und massiver Skalierung.","Azure IoT Hub MQTT Docs (learn.microsoft.com/azure/iot/iot-mqtt-connect-to-iot-hub); MQTT 5 Preview Notice: 'MQTT 5 support in Azure IoT Hub (preview)' (learn.microsoft.com/azure/iot/iot-mqtt-5-preview) — MQTT 5.0 ist explizit als Preview gekennzeichnet, nicht GA"
Southbound Connectivity (Field Capture),K5: Massive Cloud-Ingestion,USA,Google Cloud,3.0,"Pub/Sub bietet exzellente Ingestion via HTTP/S und gRPC, skaliert massiv. Jedoch: Kein nativer MQTT-Endpoint in Pub/Sub — MQTT-Anbindung erfordert Drittanbieter (HiveMQ, EMQX) oder den Dataflow 'MQTT to Pub/Sub'-Template, das als 'Pre-GA' gekennzeichnet ist. Score 3 (guter DIY-Stack, aber kein natives IoT-MQTT-Kernprodukt).",Google Cloud Pub/Sub Docs (cloud.google.com/pubsub); Dataflow MQTT-to-Pub/Sub Template: 'This feature is subject to Pre-GA Offerings Terms' (cloud.google.com/dataflow/docs/guides/templates/provided/mqtt-to-pubsub); Pub/Sub Integrations via HiveMQ (cloud.google.com/pubsub/integrations)
Southbound Connectivity (Field Capture),K5: Massive Cloud-Ingestion,DE,Stackable,2.0,"Stackable bietet Apache Kafka als Kubernetes-Operator für Self-Hosted Ingestion. Kein Managed MQTT-Broker, keine Cloud-skalige Ingestion out-of-the-box. Score 2 (IaaS-Niveau).",Stackable Kafka Operator (docs.stackable.tech/kafka)
Southbound Connectivity (Field Capture),K5: Massive Cloud-Ingestion,DE,IONOS,2.0,"IONOS bietet Managed Kubernetes und VMs für Self-Hosted MQTT-Broker (Mosquitto, HiveMQ). Kein managed IoT-Ingestion-Service. Score 2.",IONOS Managed Kubernetes (docs.ionos.com/cloud/managed-kubernetes)
